id,SMILES,Tg,FFV,Tc,Density,Rg
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,45.0,0.37464529,0.2056666666666666,,
106919,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0.3704102,,,
388772,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0.37885964,,,
519416,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0.3873239,,,
539187,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,34.0,0.35547017,,,
950661,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,3.0,0.33909279,,,
1012066,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,0.3476159,,,
1022104,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,275.0,0.37754464,,,
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,18.0,0.35917558,,,
2265305,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,0.341878125,,,
2986007,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,90.0,0.40239665,0.487,0.901122805,28.6824407
3013292,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,,0.171,1.184354013,13.53424751
3053950,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,254.0,0.36481552,,,
3128201,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,285.5,0.36956078,,,
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,21.9,0.3314918,,,
3254580,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,,0.34991627,,,
4600132,*Nc1ccc(-c2ccc(N*)cc2)cc1,,0.33687015,,,
4658296,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,245.0,0.36326495,,,
4834929,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,,0.36594162,,,
5118841,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,30.0,0.40101187,,,
5350166,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,-26.0,0.31898697,,,
5650517,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,70.0,0.33573247,,,
5661484,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,265.0,0.38715626,,,
5709902,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,138.0,0.33579028,,,
5724071,*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,206.5,0.33930299,,,
5857263,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,228.51,0.36614256,,,
5905810,*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,211.0,0.34722767,,,
