id,SMILES,Tg,FFV,Tc,Density,Rg
87817,CCCCCCOC(=O)c1ccccc1C(C)CC,45.0,0.37464529,0.2056666666666666,,
106919,CCCCCC1CCC(c2ccc([C@@H](CCC)c3ccc(NC)cc3)cc2)(c2ccc([C@@H](CCC)c3ccc(NC)cc3)cc2)CC1,,0.3704102,,,
388772,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(C)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0.37885964,,,
519416,CNc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(NC)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0.3873239,,,
539187,COc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(C)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,34.0,0.35547017,,,
950661,COC(=O)CCCCCCCCC(=O)OC1COC2C(C)COC12,3.0,0.33909279,,,
1012066,CNc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1NC,,0.3476159,,,
1022104,CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(C)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,275.0,0.37754464,,,
1722264,CCC(C)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,18.0,0.35917558,,,
2265305,CNc1ccc(-c2ccc(-c3ccc(NC)cc3)cc2)cc1,,0.341878125,,,
2986007,Cc1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(C)ccc2-3)cc1,90.0,0.40239665,0.487,0.901122805,28.6824407
3013292,CCC(C)c1ccc(C(=O)O)c(C(=O)O)c1,,,0.171,1.184354013,13.53424751
3053950,Cc1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5c4)cc3C2=O)c1,254.0,0.36481552,,,
3128201,CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(C)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,285.5,0.36956078,,,
3139746,CCCOCCOC(=O)c1ccc(C(=O)OC)cc1,21.9,0.3314918,,,
3254580,CNc1ccc(CCc2ccc(NC)c(C)c2)c(C)c1,,0.34991627,,,
4600132,CNc1ccc(-c2ccc(NC)cc2)cc1,,0.33687015,,,
4658296,CNc1ccc(C(c2ccc(NC(=O)c3ccc(C(C)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,245.0,0.36326495,,,
4834929,CNc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(NC)ccc21,,0.36594162,,,
5118841,CCCCCCCCN(C)c1ccc(C(C)=O)cc1,30.0,0.40101187,,,
5350166,CCC(C)(COC(=O)NCCCCCCNC(=O)OC)C(=O)O,-26.0,0.31898697,,,
5650517,CCOC(=O)C(Cc1ccc(OC)cc1)NC(=O)CCc1ccc(OC(=O)CCCC(C)=O)cc1,70.0,0.33573247,,,
5661484,Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5C)cc4)cc3)cc2)cc1,265.0,0.38715626,,,
5709902,CNc1ccc(NC(=O)CCCCCCC(C)=O)cc1,138.0,0.33579028,,,
5724071,CNC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(C)n3)cc2)cc1,206.5,0.33930299,,,
5857263,Cc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,228.51,0.36614256,,,
5905810,CCc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)NC)c(C)c1C,211.0,0.34722767,,,
5966923,CCCCNC(=O)OCCc1cc(C)sc1C,67.5,0.36941899,,,
6019988,CCCC(C)C(C)CCNC(=O)c1cccc(C(=O)NC)c1,125.0,0.3407009,,,
6102563,CC(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1,101.0,0.32926001,,,
6259923,CNC1=C(c2ccc(O)cc2OC)[C@@H](NC)c2c(N)ccc(N)c21,,0.32877014,,,
6645418,CCCCCCNC(=O)CCCCC(=O)NC,46.5,0.3327408,0.327,,
6665789,CNc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(C)=O)c3)cc2)c1,,0.35017075,,,
7586800,CC(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(C)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,287.0,0.38518992,,,
7687820,CCCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)NC,,,0.383,,
8689461,CCCCCCCCCCCCCCCCC(C)CC,55.0,0.40787312,0.375,,
8973725,CCC(C)CC(C)(C)CC,,,0.1863333333333333,,
9231170,CCC(C)CC,-24.1,,0.2253333333333333,,13.87291346
9284896,CO[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](C)(C)C,-46.48,0.38708542,,,
10061985,CCCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(C)C5=O)cc3)cc2C1=O,103.0,0.3487648,,,
10142210,CNC(C)C(=O)NCC(=O)NCC(C)=O,208.6397491,,,,
10557152,CC(C)=[C](C)[Ge]([CH3])([CH3])[CH3],,0.39996108,,,
11301237,Cc1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(C)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,267.0,0.40256926,,,
11664621,COC(COC(C)=O)COC(C)C,,0.35338284,,,
11667291,CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(C)cc6C5=O)cc4)cc3)cc1)C2=O,307.0,0.38083463,,,
11796436,CNc1cc2c(c(-c3ccccc3)c1NC)[C@@H](c1ccccc1)c1ccccc1-2,,0.37078536,,,
11894206,CCC(C)C(=O)Oc1ccccc1C,51.5,0.35783052,0.1735,1.061864136,12.7374634
11955349,CC(=Nc1ccccc1)c1ccc(-c2ccc(C)cc2)cc1,,0.39901234,,,
12008966,CCC(C)c1ccc(C(C)(C)C)cc1,138.0,,0.184,,
12265790,CCC(C)C(=O)OC(C)C,-5.0,0.36594213,,,
12381586,CCC(C)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,45.0,0.35839221,,,
12395811,COc1ccc(C(C)=Cc2cc(OC)c(C=C(c3ccc(C)cc3)c3ccc(OC)cc3)cc2OC)cc1,,0.37715059,,,
12627006,CCN(CCOc1ccc(C)cc1-c1cc(-c2ccccc2)c2cc(Oc3ccc4nc(C)cc(-c5ccccc5)c4c3)ccc2n1)c1ccc(C(C#N)=C(C#N)C#N)cc1,200.0,0.39541698,,,
12724819,CC=Cc1ccc2c(c1)Sc1cc(-c3ccc4c(c3)Sc3cc(C)ccc3N4c3ccc(OCCCCCCCCCCCC)cc3)ccc1N2c1ccc(OCCCCCCCCCCCC)cc1,,0.400601,,,
13021733,COCCOCCOCCOCCOCCC[Si](C)(CCCOCCOCCOCCOCCOC)OC,-69.8,0.36551909,,,
13364814,CCCCP(C)(=O)CCCNC(=O)CCCCC(=O)NC,33.0,0.33815952,,,
13630833,Cc1ccc2c(c1)C(=O)N(c1c(C)cc(Cc3cc(C)c(N4C(=O)c5ccc(C(C)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C(C)C)c3)cc1C(C)C)C2=O,276.0,0.42131241,,,
13838538,CCCCCCCSSCCCCSSC,-41.26672381,,0.192,,
13850404,COC(=O)OCC(O)C(O)COC(=O)OC1COC2C(C)COC12,78.5,0.29768641,,,
13874722,CCCCCCOCOC,-80.0,0.36424093,,,
15891916,Cc1ccc(Oc2ccc(C(=O)c3cccc(C(=O)c4ccc(Oc5ccc(-c6nc(-c7cccc(-c8nc(C)c(-c9ccccc9)[nH]8)c7)[nH]c6-c6ccccc6)cc5)cc4)c3)cc2)cc1,256.5,0.39177495,,,
15979280,COc1ccc(NC(=O)c2cc(NC(=O)CCCCCN3C(=O)c4ccccc4C3=O)cc(C(=O)Nc3ccc(C)cc3)c2)cc1,200.0,0.33547772,,,
16364869,Cc1ccc2c(c1)C(=O)N(c1cc(N3C(=O)c4ccc(C(C)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc(C(F)(F)F)c1)C2=O,284.0,0.39841654,,,
16498242,CC=CCCCCCCCCC,-17.2820223,,0.343357529,0.85471523,22.38144722
16855553,CCC(C)C(=O)Oc1ccccc1,60.0,0.3539411,0.196,1.109388621,13.43533854
17114758,COc1ccc(Cc2ccc(OC(=O)c3ccc(C(C)(C)c4ccc(C(C)=O)cc4)cc3)cc2)cc1,140.0,0.36534872,,,
17899555,C#Cc1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C(C)=CC)cc5)c(=O)c4cc3c2=O)cc1,,0.37446752,,,
18227797,CCCCCCOC(=O)C(Cc1ccc(OC)cc1)NC(=O)CCc1ccc(OC(=O)CCCCCCCCC(C)=O)cc1,22.0,0.35827772,,,
18308835,CO[Si](C)(C)c1ccc2ccc([Si](C)(C)C)cc2c1,26.0,0.41603966,,,
18339242,[2H]C([2H])([2H])OC(=O)C(C)CC,35.0,0.32713966,,,
18520951,CCC(C)(C)C1C(=O)N(c2c(C)cccc2C)C(=O)C1C,237.0,0.36567807,,,
18696710,CCC(O)COc1c(C)cc(S(=O)(=O)c2cc(C)c(OC)c(C)c2)cc1C,152.5,0.36816578,,,
19277692,Cc1ccc(Oc2ccc(-c3cnc4ccc(Oc5ccc6nc(C)cnc6c5)cc4n3)cc2)cc1,270.0,0.39336683,,,
19303052,CCC(C)(C)C(=O)OCc1cc(Cl)ccc1Cl,27.8,0.36119278,0.138323775,1.269736861,16.48420407
19522327,CCC(C)OC(=O)c1cccc(Br)c1,57.5,0.37722551,,,
20039468,COc1ccc(-c2ccc(-c3ccc(Oc4ccc(C(=O)c5cccc(C(=O)c6ccc(C)cc6)c5)cc4)cc3)cc2)cc1,174.0,0.36836692,,,
20273521,CCC(CN1C(=O)C2C3C=CC(C3)C2C1=O)OC,87.5,0.34392035,,,
20627281,CNc1cc2ccccc2c(-c2cccc3ccccc23)c1NC,,0.35509262,,,
20883601,CCc1cc(C)c(CNC(=O)c2ccc(C(=O)NC)cc2)cc1C,225.0,0.33875515,,,
21279513,COc1ccc(C2(c3ccc(OC4(F)C(C)(F)C(F)(F)C4(F)F)cc3)c3ccccc3-c3ccccc32)cc1,228.0,0.38927007,,,
21520341,CC(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc(C)cc5C4=O)cc3)CCC(C)CC2)cc1,322.0,0.37589597,,,
22184710,CCCOC(=O)c1ccc(C(C)CC)cc1,92.0,0.37674615,,,
22597605,Cc1ccc(Oc2ccc(-c3nc4cc(-c5ccc6nc(-c7ccccc7)c(C)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,300.0,0.41714937,,,
22905078,CCC(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-39.0,0.32506583,,,
22928574,CCC[CH2][Sn]([CH2]CCC)([O]C)[O]C(=O)/C=C/C(C)=O,186.0,0.35027613,,,
22953969,COc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(C)=O)cc2)cc1,95.0,0.35595348,0.279614546,1.055075595,21.23825618
23036398,Cc1ccc(S(=O)(=O)c2ccc(N3C(=O)C(C)C(SCCOCCSC4C(=O)N(c5ccc(S(=O)(=O)c6ccc(N7C(=O)CC(C)(SCCOCCSC8(C)CC(=O)N(C)C8=O)C7=O)cc6)cc5)C(=O)C4C)C3=O)cc2)cc1,157.0,0.34421859,,,
23192453,CCC(C)S(C)(=O)=O,,,,1.293314518,20.99132259
23694396,CN=P(C)(Cl)Cl,-63.0,0.34644364,,,
23713841,CC(=O)Nc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(NC(=O)c6ccc7c(c6)C(=O)N(c6ccc(Oc8ccc(Oc9ccc(N%10C(=O)c%11ccc(C)cc%11C%10=O)cc9)cc8)cc6)C7=O)cc5)cc4)NC(=O)c4ccccc43)cc2)cc1,284.0,0.36615689,,,
24351648,CNc1ccc(C2(c3ccc(NC)cc3)C=CCCC2)cc1,,0.34884686,,,
24969052,CCCCCCOC(=O)c1cccc(C(=O)OC)c1,7.0,0.34539931,,,
24982830,Cc1ccc(NC(=O)CN2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(CC(=O)Nc4ccc(-c6nnc(C)o6)cc4)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,280.0,0.35544781,,,
25581268,Cc1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,267.0,0.37886829,,,
25596707,Cc1ccc(Oc2ccc(N3C(=O)c4cc(-c5ccc([Si](C)(C)C)cc5)c(-c5cc6c(cc5-c5ccc([Si](C)(C)C)cc5)C(=O)N(C)C6=O)cc4C3=O)cc2)cc1,348.0,0.42813779,,,
25599707,Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6cccc(-c7nc(C)c(-c8ccccc8)[nH]7)c6)[nH]c5-c5ccccc5)cc4)cc3)cc2)cc1,292.0,0.40187067,,,
25748429,Cc1ccc(Cc2ccc(N3C(=O)C4CCC5C(=O)N(C)C(=O)C5C4C3=O)c(C)c2)cc1C,340.0,0.38793304,0.238258763,1.113927188,24.39262553
26299008,CCC(C)c1cc(C(C)C)ccc1C(C)C,,,0.1616666666666666,0.830463672,11.48207818
26367456,C=C[C@](CC)(Cc1cc([C@@](CC)(CCC)Cc2ccc(NC)cc2)ccc1N)c1ccc(NC)cc1,,0.35808156,,,
26995134,CNc1ccc(/C=C/c2ccc(NC)cc2)cc1,,0.34415534,,,
28121925,Cc1ccc(C(c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,343.0,0.39361972,,,
28200504,CCCOC(=O)NCCCCCCNC(=O)OC,56.0,0.32916214,,,
28479659,Cc1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(-c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)cc6)cc5C4=O)cc3)c2)cc1,205.0,0.36156161,,,
29482987,CC(=C(C)c1ccc(Oc2ccccc2)cc1)c1ccccc1,,0.40046864,,,
29766304,CCC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,118.0,0.35600022,,,
29881762,CCCCCCCN1C(=O)C(=O)N(C)C1=O,55.0,0.31655437,,,
29928066,CCC(C)(C)C(=O)OCCn1c2ccccc2c2ccccc21,148.0,0.35181885,,,
30582999,CCCCCCCCCCCOC(=O)c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)OC)cc2)cc1,4.250402609,,,,
30682090,Cc1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(Oc5ccc6cc(Oc7ccc8c(c7)C(=O)N(C)C8=O)ccc6c5)cc4C3=O)cc2)cc1,236.0,0.38208553,,,
31430153,COC(COC(=O)Nc1ccc(Cc2ccc(NC(C)=O)cc2)cc1)c1ccco1,40.0,0.34289328,,,
31529134,CC(=O)Nc1cccc(NC(=O)c2ccc(N3C(=O)c4ccc(C)cc4C3=O)cc2)c1,240.0,0.33798245,0.316497691,1.288525485,29.40900588
31841016,CCC(C)(C)C(=O)OCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,92.0,0.41138901,,,
32316139,CCCN(C)C(=O)c1cc(F)cc(F)c1F,110.0,0.33952456,,,
