id,SMILES,Tg,FFV,Tc,Density,Rg
87817,CCC(C)c1ccccc1C(=O)OCCCCCC,,0.37464529,0.2056666666666666,,
106919,CNc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(NC)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0.3704102,,,
388772,COc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(C)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0.37885964,,,
519416,CNc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(NC)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0.3873239,,,
539187,COc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(C)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,,0.35547017,,,
950661,COC(=O)CCCCCCCCC(=O)OC1COC2C(C)COC12,,0.33909279,,,
1012066,CNc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1NC,,0.3476159,,,
1022104,CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(C)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,,0.37754464,,,
1722264,CCC(C)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0.35917558,,,
2265305,CNc1ccc(-c2ccc(-c3ccc(NC)cc3)cc2)cc1,,0.341878125,,,
2986007,Cc1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(C)ccc2-3)cc1,,0.40239665,0.487,0.901122805,28.6824407
3013292,CCC(C)c1ccc(C(=O)O)c(C(=O)O)c1,,,0.171,1.184354013,13.53424751
3053950,Cc1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5c4)cc3C2=O)c1,,0.36481552,,,
3128201,CC(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(C)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,0.36956078,,,
3139746,CCCOCCOC(=O)c1ccc(C(=O)OC)cc1,,0.3314918,,,
3254580,CNc1ccc(CCc2ccc(NC)c(C)c2)c(C)c1,,0.34991627,,,
4600132,CNc1ccc(-c2ccc(NC)cc2)cc1,,0.33687015,,,
4658296,CNc1ccc(C(c2ccc(NC(=O)c3ccc(C(C)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,,0.36326495,,,
4834929,CNc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(NC)ccc21,,0.36594162,,,
5118841,CC(=O)c1ccc(N(C)CCCCCCCC)cc1,,0.40101187,,,
5350166,CCC(C)(COC(=O)NCCCCCCNC(=O)OC)C(=O)O,,0.31898697,,,
5650517,COc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(C)=O)cc2)C(=O)OCC)cc1,,0.33573247,,,
5661484,Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5C)cc4)cc3)cc2)cc1,,0.38715626,,,
5709902,CNc1ccc(NC(=O)CCCCCCC(C)=O)cc1,,0.33579028,,,
5724071,CNC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(C)n3)cc2)cc1,,0.33930299,,,
5857263,Cc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(C)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,,0.36614256,,,
5905810,CCc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)NC)c(C)c1C,,0.34722767,,,
5966923,Cc1cc(CCOC(=O)NCCCC)c(C)s1,,0.36941899,,,
6019988,CCCC(C)C(C)CCNC(=O)c1cccc(C(=O)NC)c1,,0.3407009,,,
6102563,CC(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(C)cc3C2=O)cc1,,0.32926001,,,
6259923,CNC1=C(c2ccc(O)cc2OC)[C@@H](NC)c2c(N)ccc(N)c21,,0.32877014,,,
